@RELATION 'Shuttle, without duplicates, v01'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
51.0,23.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,1362.0,'yes'
42.0,23.0,77.0,0.0,28.0,0.0,34.0,48.0,14.0,1808.0,'yes'
50.0,23.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0,2798.0,'yes'
42.0,22.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,4765.0,'yes'
49.0,31.0,77.0,0.0,-22.0,0.0,28.0,101.0,72.0,4801.0,'yes'
48.0,45.0,77.0,0.0,-22.0,0.0,29.0,101.0,72.0,5744.0,'yes'
50.0,22.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,7082.0,'yes'
42.0,23.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,7530.0,'yes'
57.0,92.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0,8186.0,'yes'
44.0,27.0,77.0,0.0,28.0,0.0,33.0,48.0,16.0,9932.0,'yes'
49.0,22.0,79.0,0.0,42.0,0.0,30.0,37.0,8.0,10532.0,'yes'
64.0,78.0,82.0,0.0,-42.0,-6.0,18.0,126.0,108.0,10946.0,'yes'
47.0,22.0,79.0,0.0,42.0,0.0,31.0,37.0,6.0,14178.0,'yes'
47.0,0.0,78.0,7.0,46.0,0.0,31.0,32.0,0.0,10862.0,'no'
49.0,-3.0,84.0,0.0,46.0,-20.0,35.0,37.0,2.0,3582.0,'no'
75.0,3.0,79.0,3.0,-42.0,0.0,4.0,123.0,120.0,11862.0,'no'
37.0,0.0,80.0,0.0,6.0,-19.0,43.0,75.0,32.0,14257.0,'no'
81.0,0.0,84.0,6.0,-14.0,-12.0,4.0,100.0,96.0,10390.0,'no'
84.0,0.0,88.0,0.0,0.0,14.0,3.0,88.0,84.0,13246.0,'no'
41.0,2.0,76.0,0.0,42.0,6.0,34.0,34.0,0.0,4480.0,'no'
38.0,1.0,105.0,0.0,34.0,0.0,67.0,71.0,4.0,12302.0,'no'
79.0,0.0,83.0,0.0,-38.0,0.0,4.0,122.0,118.0,6548.0,'no'
55.0,3.0,79.0,0.0,54.0,0.0,25.0,25.0,0.0,6050.0,'no'
51.0,0.0,84.0,0.0,50.0,-13.0,34.0,35.0,2.0,8630.0,'no'
40.0,-4.0,82.0,0.0,38.0,-1.0,42.0,43.0,2.0,2918.0,'no'
37.0,0.0,78.0,0.0,20.0,30.0,41.0,57.0,16.0,13490.0,'no'
79.0,0.0,83.0,0.0,-32.0,68.0,4.0,117.0,112.0,7352.0,'no'
104.0,2.0,105.0,4.0,70.0,0.0,1.0,35.0,34.0,14025.0,'no'
40.0,0.0,80.0,1.0,38.0,0.0,40.0,41.0,2.0,10971.0,'no'
84.0,-1.0,88.0,-2.0,-2.0,-8.0,3.0,90.0,88.0,12786.0,'no'
41.0,2.0,86.0,0.0,38.0,0.0,45.0,47.0,2.0,14265.0,'no'
42.0,5.0,76.0,0.0,42.0,0.0,34.0,35.0,0.0,6394.0,'no'
56.0,0.0,77.0,0.0,-6.0,20.0,21.0,85.0,64.0,7550.0,'no'
49.0,0.0,83.0,0.0,50.0,0.0,33.0,33.0,0.0,2441.0,'no'
78.0,0.0,82.0,-4.0,-40.0,0.0,4.0,123.0,120.0,1786.0,'no'
45.0,0.0,79.0,0.0,46.0,29.0,33.0,32.0,0.0,4893.0,'no'
41.0,0.0,77.0,0.0,38.0,-11.0,36.0,39.0,2.0,13912.0,'no'
37.0,0.0,81.0,-1.0,36.0,-1.0,44.0,44.0,0.0,4489.0,'no'
56.0,0.0,95.0,-3.0,56.0,7.0,40.0,39.0,0.0,7373.0,'no'
37.0,-2.0,82.0,0.0,36.0,0.0,45.0,46.0,0.0,13386.0,'no'
45.0,0.0,81.0,-2.0,44.0,-6.0,36.0,37.0,2.0,1980.0,'no'
51.0,0.0,86.0,-2.0,50.0,-2.0,36.0,37.0,2.0,5795.0,'no'
44.0,0.0,81.0,0.0,42.0,-11.0,38.0,40.0,2.0,3112.0,'no'
52.0,-5.0,79.0,0.0,52.0,-1.0,26.0,27.0,0.0,8942.0,'no'
54.0,1.0,80.0,-6.0,54.0,0.0,26.0,26.0,0.0,1635.0,'no'
53.0,0.0,85.0,0.0,52.0,-24.0,32.0,33.0,2.0,1005.0,'no'
54.0,2.0,81.0,2.0,54.0,0.0,28.0,27.0,0.0,13108.0,'no'
45.0,-6.0,81.0,0.0,44.0,0.0,36.0,37.0,2.0,4735.0,'no'
53.0,0.0,82.0,0.0,52.0,-3.0,29.0,30.0,2.0,9647.0,'no'
41.0,0.0,97.0,0.0,42.0,15.0,56.0,55.0,0.0,4593.0,'no'
44.0,0.0,85.0,6.0,44.0,4.0,41.0,41.0,0.0,3427.0,'no'
45.0,0.0,78.0,0.0,46.0,27.0,33.0,32.0,0.0,1065.0,'no'
50.0,-4.0,86.0,4.0,50.0,0.0,36.0,37.0,0.0,9445.0,'no'
79.0,0.0,83.0,0.0,-40.0,-10.0,4.0,125.0,120.0,2561.0,'no'
48.0,0.0,82.0,-1.0,46.0,0.0,34.0,35.0,2.0,8574.0,'no'
55.0,0.0,86.0,0.0,56.0,30.0,31.0,30.0,0.0,6719.0,'no'
37.0,0.0,104.0,3.0,24.0,0.0,66.0,80.0,14.0,3049.0,'no'
44.0,2.0,83.0,0.0,42.0,-27.0,39.0,41.0,2.0,782.0,'no'
51.0,0.0,86.0,0.0,52.0,8.0,36.0,35.0,0.0,12172.0,'no'
37.0,0.0,77.0,0.0,-24.0,-29.0,40.0,103.0,62.0,4637.0,'no'
55.0,0.0,82.0,0.0,-36.0,3.0,26.0,118.0,92.0,5791.0,'no'
59.0,0.0,86.0,1.0,60.0,13.0,28.0,27.0,0.0,3546.0,'no'
37.0,0.0,76.0,-1.0,30.0,16.0,40.0,45.0,6.0,11128.0,'no'
40.0,5.0,76.0,0.0,38.0,0.0,35.0,37.0,2.0,2989.0,'no'
53.0,2.0,104.0,0.0,54.0,3.0,50.0,49.0,0.0,5082.0,'no'
37.0,0.0,80.0,0.0,28.0,12.0,43.0,52.0,8.0,13444.0,'no'
56.0,0.0,95.0,0.0,50.0,-24.0,39.0,46.0,6.0,9415.0,'no'
47.0,-4.0,81.0,3.0,46.0,0.0,34.0,35.0,0.0,3020.0,'no'
41.0,0.0,83.0,3.0,42.0,0.0,42.0,42.0,0.0,2127.0,'no'
37.0,0.0,76.0,-1.0,16.0,4.0,39.0,61.0,22.0,4832.0,'no'
41.0,0.0,87.0,6.0,38.0,-4.0,46.0,48.0,2.0,10161.0,'no'
60.0,0.0,109.0,-3.0,60.0,0.0,49.0,49.0,0.0,4686.0,'no'
53.0,0.0,77.0,-5.0,54.0,12.0,25.0,23.0,0.0,1843.0,'no'
45.0,2.0,83.0,0.0,44.0,0.0,38.0,39.0,2.0,11224.0,'no'
58.0,-3.0,91.0,0.0,56.0,0.0,33.0,34.0,0.0,13213.0,'no'
55.0,0.0,93.0,2.0,8.0,0.0,37.0,85.0,48.0,10289.0,'no'
44.0,-5.0,97.0,8.0,44.0,0.0,53.0,53.0,0.0,5323.0,'no'
50.0,1.0,82.0,-2.0,50.0,0.0,32.0,33.0,2.0,9105.0,'no'
37.0,0.0,76.0,3.0,28.0,0.0,40.0,48.0,8.0,750.0,'no'
79.0,0.0,83.0,0.0,-42.0,21.0,4.0,127.0,122.0,324.0,'no'
54.0,1.0,91.0,0.0,54.0,0.0,37.0,37.0,0.0,8144.0,'no'
49.0,0.0,85.0,0.0,50.0,2.0,36.0,36.0,0.0,6411.0,'no'
37.0,0.0,106.0,0.0,28.0,-24.0,69.0,78.0,8.0,11750.0,'no'
50.0,1.0,85.0,0.0,50.0,0.0,35.0,36.0,2.0,13503.0,'no'
47.0,-1.0,89.0,0.0,46.0,0.0,42.0,42.0,0.0,13381.0,'no'
58.0,4.0,81.0,0.0,56.0,0.0,23.0,24.0,2.0,11479.0,'no'
52.0,2.0,81.0,1.0,52.0,0.0,29.0,30.0,0.0,7172.0,'no'
43.0,-2.0,89.0,0.0,42.0,-8.0,46.0,48.0,2.0,10385.0,'no'
40.0,0.0,76.0,8.0,38.0,0.0,36.0,37.0,2.0,8787.0,'no'
55.0,0.0,77.0,-2.0,18.0,0.0,22.0,59.0,38.0,11503.0,'no'
37.0,0.0,81.0,-4.0,-4.0,0.0,44.0,86.0,42.0,13519.0,'no'
55.0,0.0,79.0,0.0,54.0,-3.0,24.0,25.0,2.0,8953.0,'no'
37.0,0.0,80.0,0.0,24.0,8.0,43.0,57.0,14.0,3403.0,'no'
56.0,0.0,79.0,0.0,54.0,-8.0,23.0,24.0,2.0,4698.0,'no'
53.0,0.0,88.0,2.0,54.0,0.0,35.0,34.0,0.0,6558.0,'no'
41.0,0.0,89.0,0.0,38.0,-15.0,48.0,50.0,2.0,6859.0,'no'
44.0,2.0,87.0,-2.0,44.0,1.0,43.0,43.0,0.0,14462.0,'no'
37.0,0.0,75.0,7.0,24.0,22.0,38.0,52.0,14.0,11124.0,'no'
48.0,-1.0,82.0,0.0,50.0,26.0,34.0,33.0,0.0,14164.0,'no'
52.0,5.0,78.0,-1.0,52.0,0.0,26.0,26.0,0.0,88.0,'no'
53.0,1.0,78.0,0.0,54.0,2.0,25.0,24.0,0.0,1251.0,'no'
53.0,1.0,82.0,0.0,54.0,1.0,29.0,28.0,0.0,4411.0,'no'
82.0,1.0,86.0,0.0,-40.0,9.0,4.0,128.0,124.0,13207.0,'no'
43.0,0.0,79.0,2.0,42.0,-13.0,35.0,37.0,2.0,10179.0,'no'
37.0,0.0,79.0,-2.0,36.0,-4.0,42.0,43.0,2.0,3898.0,'no'
39.0,4.0,78.0,1.0,38.0,0.0,39.0,39.0,0.0,7674.0,'no'
55.0,0.0,78.0,1.0,26.0,0.0,23.0,52.0,30.0,60.0,'no'
58.0,0.0,96.0,-2.0,56.0,0.0,38.0,39.0,2.0,10264.0,'no'
43.0,1.0,76.0,0.0,42.0,-5.0,32.0,34.0,2.0,6140.0,'no'
56.0,0.0,96.0,0.0,50.0,-7.0,40.0,47.0,6.0,12083.0,'no'
44.0,-1.0,82.0,1.0,44.0,0.0,38.0,38.0,0.0,9264.0,'no'
41.0,0.0,83.0,0.0,42.0,10.0,42.0,41.0,0.0,14477.0,'no'
37.0,4.0,83.0,0.0,36.0,0.0,46.0,46.0,0.0,10181.0,'no'
45.0,0.0,83.0,8.0,44.0,-3.0,38.0,39.0,2.0,314.0,'no'
51.0,0.0,84.0,0.0,50.0,-6.0,34.0,35.0,2.0,6925.0,'no'
55.0,-1.0,98.0,2.0,52.0,-13.0,42.0,46.0,4.0,5832.0,'no'
38.0,1.0,94.0,0.0,38.0,13.0,56.0,55.0,0.0,10698.0,'no'
80.0,0.0,84.0,0.0,-36.0,-29.0,4.0,120.0,116.0,14496.0,'no'
54.0,0.0,87.0,2.0,54.0,0.0,33.0,33.0,0.0,9325.0,'no'
