@RELATION 'Stamps, without duplicates, with normalization, 09 pct of outliers'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
0.112011,0.49187222745964454,0.424364,0.681209,0.748623,0.066976,0.865725,0.020098184408972285,0.181869,1.0,'yes'
0.0,0.49187222745964454,0.043612,0.086249,0.122159,0.0,0.889814,1.0,0.969187,2.0,'yes'
0.119357,0.49187222745964454,0.280526,0.5878,0.696619,0.014433,0.980303,0.36703377415584626,0.595861,3.0,'yes'
0.024987,0.49187222745964454,0.056383,0.097072,0.130242,0.0018,0.787256,0.28428849325157307,0.804989,4.0,'yes'
0.176667,0.49187222745964454,0.356267,0.515091,0.555632,0.059072,0.881087,0.005720752813845883,0.124229,5.0,'yes'
0.337423,0.3156118241074372,0.21809,0.564323,0.687203,0.075768,0.888813,9.656334555468388E-4,0.110962,6.0,'yes'
0.26907,0.4092341860370964,0.223255,0.556418,0.660035,0.079813,0.834368,0.0018332025808930662,0.106672,7.0,'yes'
0.257077,0.3296568556572837,0.222039,0.605903,0.765878,0.101583,0.860906,3.6323828431451024E-4,0.087724,8.0,'yes'
0.285962,0.288104753587313,0.198803,0.536864,0.631266,0.05859,0.914176,0.0015570214060423638,0.136102,9.0,'yes'
0.297373,0.32178414237048947,0.177849,0.488406,0.639552,0.079686,0.82482,0.001940272818969244,0.108272,10.0,'yes'
0.248615,0.6441454936640043,0.050519,0.293778,0.618525,0.082937,0.842893,0.0016921100241758596,0.112497,11.0,'yes'
0.380704,0.7474358158715103,0.2108,0.669397,0.850165,0.069547,0.952015,0.0024005747770537472,0.144705,12.0,'yes'
0.303415,0.49187222745964454,0.063908,0.363761,0.738628,0.097983,0.832667,0.001348884868473719,0.08898,13.0,'yes'
0.309379,0.7367742233995177,0.22798,0.674576,0.850013,0.097417,0.911863,1.0106629949246702E-4,0.106952,14.0,'yes'
0.186166,0.6585410148003772,0.063531,0.353188,0.74806,0.11067,0.822576,9.105973518628219E-4,0.081082,15.0,'yes'
0.272903,0.7241207396139987,0.280876,0.797992,0.929297,0.098834,0.932678,0.002395571494900655,0.095687,16.0,'yes'
0.223316,0.49187222745964454,0.061532,0.34644,0.758095,0.070865,0.879004,0.001709121183496374,0.125967,17.0,'yes'
0.306888,0.7063660707572542,0.252349,0.734974,0.899233,0.060368,0.959314,0.0037544629276805583,0.174448,18.0,'yes'
0.205507,0.49187222745964454,0.315577,0.325885,0.362638,0.076228,0.306056,0.0452857074240702,0.164185,19.0,'yes'
0.259283,0.637116037501229,0.062308,0.343291,0.650035,0.090627,0.802793,0.0020263292720024335,0.092747,20.0,'yes'
0.301419,0.7277841076685502,0.216952,0.620856,0.750236,0.101493,0.88654,0.0,0.098141,21.0,'yes'
0.161471,0.49187222745964454,0.283301,0.327988,0.307959,0.116271,0.012706,0.038386181334955735,0.096512,22.0,'yes'
0.317443,0.13078698214585224,0.114872,0.530859,0.947785,0.083602,0.946035,0.015850397860996814,0.216357,23.0,'yes'
0.427038,0.09017530262982863,0.121529,0.539617,0.88048,0.10797,0.915387,0.0010907155093741493,0.138919,24.0,'yes'
0.367135,0.11082874014609516,0.134861,0.597404,0.930407,0.124082,0.913069,0.002179429705887062,0.105024,25.0,'yes'
0.378282,0.0951596578388789,0.104927,0.471542,0.828432,0.089701,0.924927,6.664371827919116E-4,0.136859,26.0,'yes'
0.287911,0.49187222745964454,0.120267,0.57602,0.941536,0.09401,0.850689,0.07280375926607854,0.313765,27.0,'yes'
0.194043,0.49187222745964454,0.14267,0.548291,0.816383,0.125414,0.811123,0.0027157815526985705,0.096941,28.0,'yes'
0.202888,0.49187222745964454,0.108036,0.477078,0.913456,0.098546,0.875793,0.004647048463792248,0.08308,29.0,'yes'
0.249951,0.49187222745964454,0.139281,0.609276,0.91506,0.079997,0.875734,0.2044531212475384,0.494937,30.0,'yes'
0.283375,0.49187222745964454,0.088702,0.377645,0.680387,0.076697,0.877858,0.0018912406538689381,0.134355,31.0,'yes'
0.055131,0.49187222745964454,0.031358,0.222233,0.507031,0.004841,0.998375,0.1233008853808098,0.984391,32.0,'no'
0.050512,0.49187222745964454,0.029074,0.192086,0.476147,0.010827,0.988046,0.015216982340415311,0.582047,33.0,'no'
0.10949,0.024627966292849666,0.032463,0.183698,0.3688,0.088299,0.861722,0.021346002977953537,0.533991,34.0,'no'
0.074926,0.6868392895356302,0.029039,0.229894,0.600619,0.008541,0.997771,0.10003562336893,0.831582,35.0,'no'
